entity_id,entity_type,reason,listed_date
50.128.76.246,ip,Known botnet activity,2025-09-06
125.176.49.205,ip,Suspicious login pattern,2025-10-13
dev_245564,device,Known botnet activity,2025-12-17
dev_292192,device,Chargeback abuse,2025-10-03
dev_223998,device,Known botnet activity,2025-10-13
174.64.188.82,ip,Suspicious login pattern,2025-12-24
dev_105986,device,Suspicious login pattern,2025-10-11
acc_274044,account,Previous fraud attempt,2025-11-13
201.164.192.20,ip,Suspicious login pattern,2025-10-26
205.203.9.241,ip,Previous fraud attempt,2025-11-16
93.86.160.230,ip,Known botnet activity,2025-12-22
acc_408241,account,Previous fraud attempt,2025-11-20
dev_430041,device,Previous fraud attempt,2025-10-07
acc_907616,account,Chargeback abuse,2025-11-03
dev_166267,device,Chargeback abuse,2025-10-06
acc_856539,account,Previous fraud attempt,2025-09-08
dev_26802,device,Known botnet activity,2025-09-16
acc_283319,account,Known botnet activity,2025-10-27
acc_79848,account,Known botnet activity,2025-12-23
dev_676024,device,Chargeback abuse,2025-10-11
acc_325203,account,Previous fraud attempt,2025-10-16
acc_582317,account,Suspicious login pattern,2025-12-26
acc_925541,account,Known botnet activity,2025-12-09
dev_389179,device,Previous fraud attempt,2025-11-25
23.52.188.161,ip,Known botnet activity,2025-10-05
dev_491390,device,Known botnet activity,2025-10-14
acc_80823,account,Previous fraud attempt,2025-11-24
acc_46686,account,Suspicious login pattern,2025-12-13
dev_156606,device,Previous fraud attempt,2025-11-17
dev_607005,device,Known botnet activity,2025-12-12
acc_819685,account,Previous fraud attempt,2025-11-03
46.212.33.128,ip,Previous fraud attempt,2025-09-30
dev_18220,device,Previous fraud attempt,2025-10-26
175.209.68.248,ip,Known botnet activity,2025-09-09
acc_995944,account,Suspicious login pattern,2025-09-03
150.44.75.17,ip,Suspicious login pattern,2025-11-17
148.42.200.36,ip,Known botnet activity,2025-08-29
dev_820235,device,Previous fraud attempt,2025-11-30
dev_898557,device,Previous fraud attempt,2025-09-02
acc_904712,account,Chargeback abuse,2025-12-03
30.48.160.27,ip,Suspicious login pattern,2025-09-24
dev_677946,device,Chargeback abuse,2025-12-08
220.116.236.251,ip,Suspicious login pattern,2025-10-30
acc_257002,account,Previous fraud attempt,2025-10-03
32.110.150.199,ip,Previous fraud attempt,2025-12-25
dev_179112,device,Suspicious login pattern,2025-10-09
acc_570325,account,Chargeback abuse,2025-12-26
acc_998660,account,Suspicious login pattern,2025-12-07
acc_445084,account,Suspicious login pattern,2025-11-06
dev_171588,device,Suspicious login pattern,2025-10-31
dev_644961,device,Suspicious login pattern,2025-11-12
acc_888158,account,Suspicious login pattern,2025-09-12
222.34.230.252,ip,Previous fraud attempt,2025-09-03
33.60.140.190,ip,Suspicious login pattern,2025-12-14
196.190.17.58,ip,Previous fraud attempt,2025-10-14
dev_661542,device,Chargeback abuse,2025-11-07
dev_323249,device,Chargeback abuse,2025-10-26
83.160.143.162,ip,Known botnet activity,2025-09-14
acc_523684,account,Chargeback abuse,2025-09-02
dev_232402,device,Suspicious login pattern,2025-12-15
dev_678642,device,Suspicious login pattern,2025-11-14
dev_953748,device,Chargeback abuse,2025-09-14
133.237.177.107,ip,Chargeback abuse,2025-10-03
dev_765442,device,Previous fraud attempt,2025-11-06
acc_70237,account,Known botnet activity,2025-11-03
acc_723167,account,Previous fraud attempt,2025-09-28
dev_170106,device,Known botnet activity,2025-09-03
106.79.23.115,ip,Suspicious login pattern,2025-10-07
137.189.166.121,ip,Previous fraud attempt,2025-10-02
dev_479032,device,Known botnet activity,2025-12-12
dev_283201,device,Known botnet activity,2025-09-02
dev_529374,device,Previous fraud attempt,2025-12-18
acc_729892,account,Chargeback abuse,2025-12-08
dev_601625,device,Chargeback abuse,2025-09-05
dev_425656,device,Known botnet activity,2025-10-05
dev_780494,device,Suspicious login pattern,2025-10-18
dev_629223,device,Previous fraud attempt,2025-09-23
acc_840869,account,Suspicious login pattern,2025-11-16
83.14.89.190,ip,Chargeback abuse,2025-11-28
acc_177004,account,Previous fraud attempt,2025-09-28
dev_313552,device,Previous fraud attempt,2025-10-28
dev_531960,device,Chargeback abuse,2025-12-17
dev_150872,device,Known botnet activity,2025-11-27
94.157.111.61,ip,Previous fraud attempt,2025-10-21
acc_897654,account,Suspicious login pattern,2025-09-27
14.5.86.154,ip,Chargeback abuse,2025-11-28
acc_620837,account,Known botnet activity,2025-12-09
199.55.186.237,ip,Previous fraud attempt,2025-11-04
acc_955122,account,Chargeback abuse,2025-11-08
148.193.134.195,ip,Known botnet activity,2025-09-12
223.89.250.65,ip,Chargeback abuse,2025-11-14
221.214.212.172,ip,Suspicious login pattern,2025-10-19
dev_989711,device,Known botnet activity,2025-12-23
acc_408014,account,Chargeback abuse,2025-11-26
69.94.67.135,ip,Known botnet activity,2025-10-25
153.42.77.218,ip,Chargeback abuse,2025-12-01
